province,district,address,latitude,longitude
Khánh Hòa,Thị xã Ninh Hòa,"Điện máy Xanh Thôn Lạc An, xã Ninh Thọ",12.5491362,109.1653627
Khánh Hòa,Thị xã Ninh Hòa,Điện máy Xanh Xã Ninh Sim,12.536913,109.018259
Khánh Hòa,TP. Cam Ranh,"Điện máy Xanh Số 294 -296 Đại lộ Hùng Vương, tổ dân phố Hòa Thuận, P. Cam Nghĩa",11.987387,109.19197
Khánh Hòa,H. Cam Lâm,"Điện máy Xanh Số 282 Trường Chinh, TT. Cam Đức",12.057741,109.16032
Khánh Hòa,Thành phố Nha Trang,"Điện máy Xanh 17 Thái Nguyên, Phường Phước Tân",12.248147,109.18561
Khánh Hòa,TX. Ninh Hòa,"Điện máy Xanh Tổ dân phố 4, P. Ninh Hiệp",12.487583,109.12719
Khánh Hòa,Huyện Cam Lâm,"Điện máy Xanh Thôn Tân Xương 2, Xã Suối Cát",12.051344,109.159559
Hà Tĩnh,H. Thạch Hà,"Điện máy Xanh Số nhà 39, Đường Lý Tự Trọng, Tổ dân Phố 5, TT. Thạch Hà",18.366357,105.86297
Hà Tĩnh,huyện Can Lộc,"Điện máy Xanh 64 Xô Viết Nghệ Tĩnh, Thị trấn Nghèn",18.454126,105.77544
Hà Tĩnh,huyện Nghi Xuân,"Điện máy Xanh Thôn Nam Sơn, xã Cương Gián",18.6616,105.756349
Hà Tĩnh,T.X Kỳ Anh,"Điện máy Xanh Đường Quang Trung, P.Sông Trí",18.078358,106.28862
Hà Tĩnh,H. Hương Sơn,"Điện máy Xanh Số 189, Quốc lộ 8A, Khối 12, TT. Phố Châu",18.508392,105.42481
Hà Tĩnh,huyện Nghi Xuân,"Điện máy Xanh Khối 7, thị trấn Xuân An",18.644119,105.720249
Hà Tĩnh,Huyện Kỳ Anh,"Điện máy Xanh Xóm 8, Xã Kỳ Phong",18.197862,106.167802
Hà Tĩnh,H. Hương Khê,"Điện máy Xanh Số 396 Trần Phú, TT. Hương Khê",18.172894,105.70265
Hà Tĩnh,TP. Hà Tĩnh,"Điện máy Xanh Số 173 Hà Huy Tập, P. Nam Hà",18.330453,105.90309
Hà Tĩnh,Huyện Nghi Xuân,"Điện máy Xanh Tổ dân phố 3, Thị trấn Tiên Điền",18.66294,105.76009
Hà Tĩnh,TX. Hồng Lĩnh,"Điện máy Xanh 105-107-109 Trần Phú, P. Nam Hồng",18.529488,105.69904
Hải Phòng,Thành phố Hải Phòng,"Điện máy Xanh Số 253 - 255 - 257 - 259 Đường Ngô Gia Tự, Phường Đằng Lâm, Quận Hải An",20.8300854,106.7051052
Hải Phòng,huyện Tiên Lãng,"Điện máy Xanh Thôn Trung Hưng, xã Bắc Hưng",20.665639,106.635501
Hải Phòng,huyện An Lão,"Điện máy Xanh Thửa đất số 510, tờ bản đồ số 1, thôn Tân Trung, xã Quang Trung",20.822937,106.556268
Hải Phòng,Huyện Thủy Nguyên,"Điện máy Xanh Thôn Giữa, Xã Quảng Thanh",20.962762,106.611893
Hải Phòng,Q. Đồ Sơn,"Điện máy Xanh Số 1596 tổ dân phố Quý Kim, P. Hợp Đức",20.749685,106.75195
Hải Dương,huyện Cẩm Giàng,"Điện máy Xanh KM 40 + 500, Quốc lộ 5A, thôn Tràng Kỹ, xã Tân Trường",20.937247,106.218255
Hải Dương,H. Bình Giang,"Điện máy Xanh Số nhà 15 Đại Lộ Hùng Vương , X. Tráng Liệt, TT. Kẻ Sặt",20.908417,106.14827
Hải Dương,TP. Hải Dương,"Điện máy Xanh Số 1 Nguyễn Lương Bằng, P. Phạm Ngũ Lão",20.938387,106.32023
Hải Dương,huyện Cẩm Giàng,"Điện máy Xanh Thôn Phú Lộc, xã Cẩm Vũ",20.9761274,106.2491427
Hải Dương,tỉnh Hải Dương (Cây xăng vòng xuyến Gia Lộc,"Điện máy Xanh Đường Quốc Lộ 37, thôn Lãng Xuyên, xã Gia Tân, huyện Gia Lộc",20.881061,106.296421
Hải Dương,huyện Nam Sách,"Điện máy Xanh Số 75 đường Hùng Vương, thị trấn Nam Sách",21.003496,106.33668
Hải Dương,Thị xã Kinh Môn,"Điện máy Xanh Thôn Thái Mông, Xã Quang Thành",21.03322,106.4317
Hải Dương,Tỉnh Hải Dương,"Điện máy Xanh Số 360-362 Lê Thánh Tông, Phường Phả Lại, Thành phố Chí Linh",21.112166,106.392682
Hải Dương,H.Kinh Môn,"Điện máy Xanh Số 203 đường Vũ Mạnh Hùng, khu 2, TT.Phú Thứ",21.026808,106.56229
Hải Dương,huyện Kim Thành,"Điện máy Xanh Thị tứ Đồng Gia, xã Đồng Gia( nay là xã Đồng Cẩm)",20.895087,106.518554
Hồ Chí Minh,H. Bình Chánh,"Điện máy Xanh C2/5 Quách Điêu, Ấp 3, X. Vĩnh Lộc A",10.831648,106.56829
Hưng Yên,Huyện Tiên Lữ,"Điện máy Xanh Khu Hòa Bình, Thị trấn Vương",20.698769,106.1185
Hưng Yên,Huyện Văn Giang,"Điện máy Xanh Chợ Mễ, Xã Mễ Sở",20.8977665,105.9279348
Hưng Yên,Tỉnh Hưng Yên,"Điện máy Xanh Đường 38B, Xã Trung Nghĩa, Thành phố Hưng Yên",20.646575,106.051863
Hưng Yên,H. Khoái Châu,"Điện máy Xanh Đội 2, thôn Yên Lịch, X. Dân Tiến",20.840546,106.00671
Hưng Yên,H.Mỹ Hào,"Điện máy Xanh Ngã tư Phố Bần, TT.Bần Yên Nhân",20.939075,106.04236
Hưng Yên,H. Văn Lâm,"Điện máy Xanh Thôn Thị Trung, X. Đình Dù",20.957512,105.99732
Hưng Yên,Huyện Văn Giang,Điện máy Xanh Thị Trấn Văn Giang,20.945289,105.934037
Hưng Yên,H. Phù Cừ,"Điện máy Xanh Phố Cao, TT. Trần Cao",20.732116,106.17639
Khánh Hòa,H. Vạn Ninh,"Điện máy Xanh 485 Hùng Vương, TT. Vạn Giã",12.692517,109.22168
Khánh Hòa,Tỉnh Khánh Hòa,"Điện máy Xanh Thôn Lộc Thọ, Xã Vạn Long, Huyện Vạn Ninh",12.696561,109.228885
Khánh Hòa,huyện Diên Khánh,"Điện máy Xanh Thôn Phò Thiện, xã Diên Phước",12.2582935,109.0534842
Khánh Hòa,huyện Khánh Vĩnh,"Điện máy Xanh Tổ 1, Thị trấn Khánh Vĩnh",12.27979,108.908076
Khánh Hòa,Thành phố Cam Ranh,"Điện máy Xanh Đường Quốc Lộ 1A, TDP Thuận Lộc, Phường Cam Thuận",11.918151,109.154493
Khánh Hòa,H. Diên Khánh,"Điện máy Xanh Dinh Thành 1, TT. Diên Khánh",12.256927,109.10553
Khánh Hòa,TP.Nha Trang,"9A Thái Nguyên, P.Phước Tân",12.2491895,109.1831374
Khánh Hòa,TP.Nha Trang,"105-105A Ngô Gia Tự, P.Tân Lập",12.241552,109.18866
Khánh Hòa,TP Nha Trang,"03 Quang Trung, P. Vạn Thạnh",12.251516,109.190324
Khánh Hòa,Tỉnh Khánh Hoà,"Số nhà 9H, Đường Lê Thánh Tôn, Phường Lộc Thọ, Thành phố Nha Trang",12.2452,109.191505
Khánh Hòa,TX. Ninh Hòa,"185-187 Trần Quý Cáp, tổ dân phố 11, P. Ninh Hiệp",12.49474,109.13148
Hà Tĩnh,TX. Kỳ Anh,"Điện máy Xanh Tổ dân phố Liên Phú, P. Kỳ Liên",18.022758,106.40457
Hà Tĩnh,H. Đức Thọ,"Điện máy Xanh Tổ dân phố 5, TT. Đức Thọ",18.538385,105.58802
Hà Tĩnh,Huyện Lộc Hà,Điện máy Xanh Xã Thạch Châu,18.441378,105.895632
Hà Tĩnh,huyện Cẩm Xuyên,"Điện máy Xanh Thôn 10, xã Cẩm Trung",18.217041,106.088907
Hà Tĩnh,Tp. Hà Tĩnh,"Điện máy Xanh Số 87-89, tổ 3, P. Trần Phú",18.342113,105.89197
Hà Tĩnh,H. Cẩm Xuyên,"Điện máy Xanh Quốc Lộ 1A, TDP, 14",18.2515446,105.9986311
Hà Tĩnh,Huyện Can Lộc,"27 Đường Xô Viết Nghệ Tĩnh, Thị Trấn Nghèn",18.455042,105.77554
Hà Tĩnh,H. Nghi Xuân,"Khối 3, TT. Xuân An",18.642077,105.71609
Hải Phòng,H. Tiên Lãng,"Điện máy Xanh Số 40 Minh Đức, khu 2, TT. Tiên Lãng",20.730838,106.56091
Hải Phòng,H. An Lão,"Điện máy Xanh Số 17 đường Nguyễn Văn Trỗi, TT. An Lão",20.821557,106.55664
Hải Phòng,Q. Hồng Bàng,"Điện máy Xanh Số 69 Đường Hồng Bàng, P. Sở Dầu",20.865234,106.65132
Hải Phòng,Quận Kiến An,"Điện máy Xanh 220 Trần Thành Ngọ, Phường Trần Thành Ngọ",20.809425,106.62603
Hải Phòng,Quận Ngô Quyền,"Điện máy Xanh 282 Đà Nẵng, Phường Vạn Mỹ",20.861111,106.71014
Hải Phòng,H. Thủy Nguyên,"Điện máy Xanh Thôn 4B, X. Tân Dương",20.893752,106.6732
Hải Dương,huyện Thanh Miện,"Điện máy Xanh Thôn Phù Tải, xã Thanh Giang",20.722926,106.251355
Hải Dương,H. Thanh Miện,"Điện máy Xanh 191 Nguyễn Lương Bằng, TT. Thanh Miện",20.78498,106.24584
Hải Dương,Huyện Ninh Giang,Điện máy Xanh Xã Tân Hương,20.7709691,106.370456
Hải Dương,TP. Hải Dương,"Điện máy Xanh Ngã tư nhà máy sứ Hải Dương, đường Phạm Ngũ Lão",20.938796,106.32117
Hải Dương,H. Kim Thành,"Điện máy Xanh Số 81-83-85 Quốc lộ 5, KP. Ga, TT. Phú Thái",20.966956,106.51079
Hải Dương,T. Hải Dương (Cách Ngã 3 Sao Đỏ 50 m,"Điện máy Xanh Số 2 Nguyễn Thái Học, P. Sao Đỏ, TX. Chí Linh",21.11328,106.39275
Hải Dương,huyện Thanh Hà,"Điện máy Xanh Thửa số 103/1+3 và 103 và 121, Tờ bản đồ 04, Xã Cẩm Chế",20.9303139,106.4308688
Hải Dương,Tỉnh Hải Dương,"Điện máy Xanh Thôn Hàm Hy, Xã Cộng Lạc, HuyệnTứ Kỳ",20.7822002,106.4546077
Hải Dương,Tỉnh Hải Dương,"Điện máy Xanh Đội 6, Thôn Đông, Xã Cổ Dũng, Huyện Kim Thành",20.965431,106.511064
Hải Dương,Tỉnh Hải Dương,"Điện máy Xanh Thôn Cậy, Xã Long Xuyên, Huyện Bình Giang",20.909712,106.147222
Hồ Chí Minh,Huyện Bình Chánh,"Điện máy Xanh C4/21, Khu Phố 3, Thị Trấn Tân Túc",10.674211,106.58051
Hồ Chí Minh,Q. Bình Tân,"Điện máy Xanh Số 1826A Tỉnh Lộ 10, khu phố 1, P. Tân Tạo",10.762065,106.5699
Hồ Chí Minh,huyện Bình Chánh,"Điện máy Xanh 1A93/2 Ấp 1, xã Phạm Văn Hai",10.770904,106.55179
Hồ Chí Minh,H. Bình Chánh,"Điện máy Xanh 2186 Vĩnh Lộc, ấp 4, xã Vĩnh Lộc B",10.812198,106.57718
Hồ Chí Minh,Huyện Bình Chánh,"Điện máy Xanh G16/41 Trần Đại Nghĩa, Ấp 7, Xã Lê Minh Xuân",10.739261,106.549552
Hồ Chí Minh,Huyện Bình Chánh,"Điện máy Xanh A4/4 Trần Văn Giàu, Ấp 1, Xã Lê Minh Xuân",10.787944,106.516194
Hồ Chí Minh,Huyện Củ Chi,Điện máy Xanh Số 271 Quốc Lộ 22,10.938917,106.54094
Hồ Chí Minh,Thành phố Thủ Đức,"Điện máy Xanh 794 Phạm Văn Đồng, Phường Hiệp Bình Chánh",10.831556,106.725889
Hồ Chí Minh,H. Hóc Môn ,"Điện máy Xanh Số 30/10 Nguyễn Ảnh Thủ, Ấp Đông , xã Thới Tam Thôn",10.873892,106.62156
Hồ Chí Minh,H. Hóc Môn ,"Điện máy Xanh Số 30/10 Nguyễn Ảnh Thủ, Ấp Đông , xã Thới Tam Thôn",10.873892,106.62156
Hồ Chí Minh,Thành phố Hồ Chí Minh,"Điện máy Xanh 137 Lê Thị Hà, Ấp Đình, Xã Tân Xuân, Huyện Hóc Môn",10.87581,106.598828
Hồ Chí Minh,Quận 1,"Điện máy Xanh 189A Cống Quỳnh, Phường Nguyễn Cư Trinh",10.767069,106.687006
Hưng Yên,Tỉnh Hưng Yên,"Điện máy Xanh Thôn Đạo Xá, Thị Trấn Yên Mỹ, Huyện Yên Mỹ",20.882754,106.035425
Hưng Yên,Huyện Yên Mỹ,"Điện máy Xanh Thôn Từ Hồ, Xã Yên Phú",20.8928,105.98513
Hưng Yên,Tp. Hưng Yên,"98-98B-100 Đường Điện Biên, P. Lê Lợi",20.651369,106.05744
Khánh Hòa,TP. Nha Trang,"990 đường 23 tháng 10, thôn Phú Thạnh, X. Vĩnh Thạnh",12.257333,109.14951
Khánh Hòa,TP.Nha Trang,"131 Lê Hồng Phong, P.Phước Hòa",12.2348148,109.181335
Khánh Hòa,H. Diên Khánh,"Số 93 đường Lý Tự Trọng, khóm Đông Môn, TT. Diên Khánh",12.256109,109.09839
Khánh Hòa,TP. Nha Trang,"1200 Lê Hồng Phong, P. Phước Long",12.214518,109.19177
Khánh Hòa,TP. Nha Trang,"223 đường 2/4, P. Vạn Thắng",12.258812,109.18893
Khánh Hòa,TP.Cam Ranh,"Số 1 đại lộ Hùng Vương, Tổ DP Lợi Hòa, P.Cam Lợi",11.9173424,109.146198
Khánh Hòa,TP. Cam Ranh,"923 Hùng Vương, P. Cam Phúc Bắc",11.967287,109.19213
Khánh Hòa,TP.Nha Trang,"Số 01 Hòn Chồng, P.Vĩnh Phước",12.274487,109.19831
Khánh Hòa,H. Vạn Ninh,"Khóm 5, TT. Vạn Giã",12.698661,109.2263
Hà Tĩnh,Tp. Hà Tĩnh,"Số 50 đường Hà Huy Tập, P. Hà Huy Tập",18.337406,105.89638
Hà Tĩnh,Tp. Hà Tĩnh,"Số 76 đường Trần Phú, P. Trần Phú",18.342174,105.89243
Hà Tĩnh,TP.Hà Tĩnh,"160 Hà Huy Tập, P.Hà Huy Tập",18.3336032,105.8999097
Hải Phòng,H. Kiến Thuỵ,"Điện máy Xanh Số 19 Cẩm Xuân, TT. Núi Đối",20.74991,106.66839
Hải Phòng,Quận Kiến An,"Điện máy Xanh Số nhà 703 -705 - 707 - 709 đường Trường Chinh, Tổ dân phố Trường Chinh 2, Phường Quán Trữ",20.824068,106.652566
Hải Phòng,Thành phố Hải Phòng,"Điện máy Xanh Thôn 6, Xã Tú Sơn, Huyện Kiến Thuỵ",20.713835,106.729291
Hải Phòng,Tp Hải Phòng (Ngã 3 Quán Chủng - Mỹ Đức,"Điện máy Xanh Thôn Tiến Lập, xã Mỹ Đức, huyện An Lão",20.765025,106.602181
Hải Phòng,Huyện An Lão,"Điện máy Xanh Khu Văn Tràng I, Thị Trấn Trường Sơn",20.822937,106.556268
Hải Phòng,Thành phố Hải Phòng,"Điện máy Xanh Số 381 Đường Phạm Văn Đồng, Phường Hải Thành, Quận Dương Kinh",20.791221,106.714537
Hải Phòng,Thành phố Hải Phòng,"Điện máy Xanh Thôn An Lãng, Xã An Hòa, Huyện Vĩnh Bảo",20.689817,106.48022
Hải Phòng,huyện An Dương,"Điện máy Xanh Thôn Kinh Giao, xã Tân Tiến",20.864145,106.613799
Hải Phòng,huyện Thủy Nguyên,"Điện máy Xanh Tờ bản đồ số 03, thôn 6, xã Phả Lễ",20.9109249,106.7435217
Hải Phòng,Q.Đồ Sơn,"Điện máy Xanh Số 220 Lý Thánh Tông, P.Vạn Sơn",20.71528,106.7831
Hải Phòng,huyện An Dương,"Điện máy Xanh Đường Tôn Đức Thắng, Xã An Đồng",20.852889,106.65222
Hải Dương,huyện Cẩm Giàng,"Điện máy Xanh Thôn Bình Long, xã Lương Điền",20.956324,106.166734
Hải Dương,huyện Nam Sách,Điện máy Xanh Xã Thanh Quang,20.986889,106.335192
Hồ Chí Minh,Huyện Nhà Bè,"Điện máy Xanh 12/2A Ấp 3, xã Phú Xuân",10.678097,106.75375
Hồ Chí Minh,Huyện Củ Chi,Điện máy Xanh Số 271 Quốc Lộ 22,10.938917,106.54094
Hồ Chí Minh,Q. Bình Tân,"Điện máy Xanh Số 1826A Tỉnh Lộ 10, khu phố 1, P. Tân Tạo",10.762065,106.5699
Hồ Chí Minh,Quận Tân Phú,"Điện máy Xanh 452A-452D Lũy Bán Bích, Phường Hòa Thạnh",10.778649,106.63532
Hồ Chí Minh,H. Bình Chánh,"Điện máy Xanh D10/292C và D10/292D Ấp 4, X. Phong Phú",10.691614,106.65255
Hồ Chí Minh,Thành phố Thủ Đức,"Điện máy Xanh 794 Phạm Văn Đồng, Phường Hiệp Bình Chánh",10.831556,106.725889
Hồ Chí Minh,huyện Hóc Môn,"Điện máy Xanh Số 12 - 12B Đặng Thúc Vịnh, xã Đông Thạnh",10.906028,106.639722
Hồ Chí Minh,Huyện Bình Chánh,"Điện máy Xanh C4/21, Khu Phố 3, Thị Trấn Tân Túc",10.674211,106.58051
Hồ Chí Minh,Thành phố Thủ Đức,"Điện máy Xanh 137 Quốc Lộ 13, Phường Hiệp Bình Chánh",10.831354,106.71396
Hồ Chí Minh,Q. Gò Vấp,"Điện máy Xanh Số 152 (số cũ 33) Quang Trung, P. 10",10.828241,106.67502
Hưng Yên,H.Yên Mỹ,"Thôn Liêu Thượng, xã Liêu Xá",20.920298,106.05827
Hưng Yên,Tỉnh Hưng Yên,"Khu phố Văn Giang, Thị Trấn Văn Giang, Huyện Văn Giang",20.9461182,105.9400611
Hưng Yên,Tỉnh Hưng Yên,"Số 16 - 18 đường Nguyễn Bình, Phường Bần Yên Nhân, Thị xã Mỹ Hào",20.93863,106.05975
Hưng Yên,Huyện Văn Lâm,"74 khu phố mới , TT Như Quỳnh",20.986739,105.97732
Hưng Yên,H. Khoái Châu,"Ngã tư Dân Tiến, xã Dân Tiến",20.84206,106.00855
Hưng Yên,H. Văn Lâm,"Chợ đường cái, xã Trưng Trắc",20.958287,105.99892
Hưng Yên,huyện Yên Mỹ,"Số 262, thị trấn Yên Mỹ",20.883526,106.03453
Khánh Hòa,TP. Nha Trang,"58 đường 23 tháng 10, P. Phương Sơn",12.251863,109.17639
Khánh Hòa,TX. Ninh Hòa,"Tổ dân phố Phú Thọ 2, P. Ninh Diêm",12.538448,109.2165
Khánh Hòa,TX.Ninh Hòa,"Số 324-326 Trần Quý Cáp, Tổ dân phố 7, P.Ninh Hiệp",12.493371,109.12753
Khánh Hòa,H.Diên Khánh,"Số 02 Lạc Long Quân, Thị Trấn Diên Khánh",12.2572206,109.1066086
Hồ Chí Minh,Q. Bình Tân,"Điện máy Xanh Số 740 Tân Kỳ Tân Quý, P. Bình Hưng Hòa",10.790904,106.60358
Hồ Chí Minh,Thành phố Thủ Đức,"Điện máy Xanh 184 Võ Văn Ngân, Phường Bình Thọ",10.850691,106.76267
Hồ Chí Minh,H. Củ Chi,"Điện máy Xanh Số 42A Tỉnh Lộ 8, X. Tân Thạnh Tây",10.984021,106.57477
Hồ Chí Minh,Huyện Bình Chánh,"Điện máy Xanh G16/41 Trần Đại Nghĩa, Ấp 7, Xã Lê Minh Xuân",10.739261,106.549552
Hồ Chí Minh,Quận Bình Tân,"Điện máy Xanh 1255 Tỉnh Lộ 10, Phường Tân Tạo",10.756312,106.59017
Hồ Chí Minh,Huyện Bình Chánh,"Điện máy Xanh A4/4 Trần Văn Giàu, Ấp 1, Xã Lê Minh Xuân",10.787944,106.516194
Hồ Chí Minh,Huyện Củ Chi,"Điện máy Xanh 110 - 110B Hà Duy Phiên, Xã Bình Mỹ",10.933822,106.646145
Hồ Chí Minh,Quận 12,"Điện máy Xanh Số 29A Nguyễn Văn Quá, P. Đông Hưng Thuận",10.847982,106.63532
Hồ Chí Minh,H. Hóc Môn,"Điện máy Xanh Số 70/2, ấp Hưng Lân, X. Bà Điểm",10.856071,106.60644
Hồ Chí Minh,Q.8,"Điện máy Xanh 158 An Dương Vương, P.16",10.725418,106.62012
Hồ Chí Minh,Quận 12,"Điện máy Xanh 55-57-59 Hà Huy Giáp, Phường Thạnh Lộc",10.854031,106.679185
Hồ Chí Minh,H. Củ Chi,"Điện máy Xanh Số 209-211 Tỉnh Lộ 8, KP.03, TT. Củ Chi",10.976583,106.50061
Hồ Chí Minh,quận 7,"Điện máy Xanh 1521 đường Huỳnh Tấn Phát, phường Phú Mỹ",10.712235,106.737156
Hồ Chí Minh,Q.Bình Tân,"Điện máy Xanh 722 Tỉnh Lộ 10, Khu phố 18, P.Bình Trị Đông",10.758258,106.61177
Hồ Chí Minh,Quận 12,"Điện máy Xanh 343-345 Lê Văn Khương, P. Hiệp Thành",10.877173,106.6489
Hồ Chí Minh,Quận 12,"Điện máy Xanh 35 Vườn Lài. Khu phố 4, Phường An Phú Đông",10.858576,106.692415
Hồ Chí Minh,Q.12,"Điện máy Xanh Số 597 Hà Huy Giáp, KP.03, P. Thạnh Xuân",10.881189,106.67917
Hồ Chí Minh,Q. 12,"Điện máy Xanh 102 -104 -106 Trường Chinh,P. Tân Hưng Thuận ",10.827917,106.62516
Hồ Chí Minh,Quận 12,"Điện máy Xanh 343-345 Lê Văn Khương, P. Hiệp Thành",10.877173,106.6489
Hồ Chí Minh,Huyện Bình Chánh,"Điện máy Xanh Ấp 1, Xã Qui Đức",10.646417,106.656333
Hồ Chí Minh,quận Gò Vấp,"Điện máy Xanh 2A Nguyễn Oanh, phường7",10.830063,106.678293
Hồ Chí Minh,Huyện Nhà Bè ,"Điện máy Xanh 506 - 508 Nguyễn Văn Tạo, Ấp 1, Xã Long Thới",10.652199,106.72964
Hồ Chí Minh,Phường 11,Điện máy Xanh 2/1B Quang Trung,10.835075,106.66445
Hồ Chí Minh,Huyện Củ Chi,"Điện máy Xanh 1484 Tỉnh Lộ 8, Ấp 12, Xã Tân Thạnh Đông",10.982556,106.591222
Hồ Chí Minh,Huyện Củ Chi,"Điện máy Xanh 801-801A Quốc Lộ 22, ấp Chợ, xã Phước Thạnh",11.004915,106.42793
Hồ Chí Minh,Huyện Củ Chi,"Điện máy Xanh 874 – 874 A, Quốc Lộ 22, Thị trấn Củ Chi",10.970711,106.48268
Hồ Chí Minh,Thành phố Thủ Đức,"Điện máy Xanh Số 266 Long Phước, phường Long Phước",10.8118053,106.8595415
Hồ Chí Minh,H. Bình Chánh,"Điện máy Xanh D12/23B Đinh Đức Thiện, ấp 4, X. Bình Chánh",10.661881,106.57562
Hồ Chí Minh,Q. Gò Vấp,"Điện máy Xanh 278 Phạm Văn Chiêu, P.9",10.849386,106.650424
Hồ Chí Minh,huyện Củ Chi,"Điện máy Xanh Số 106, đường Tỉnh Lộ 15, xã Phú Hoà Đông",11.022502,106.5642188
Hồ Chí Minh,Huyện Bình Chánh,"Điện máy Xanh C5/13B Phạm Hùng , Ấp 4, Xã Bình Hưng ",10.735361,106.67238
Hồ Chí Minh,Huyện Hóc Môn,"Điện máy Xanh 36/3D Phan Văn Đối, Ấp Tiền Lân, Xã Bà Điểm",10.837917,106.59955
Hồ Chí Minh,Thành phố Thủ Đức,"Điện máy Xanh 43 Quốc Lộ 1K, Khu phố 2, Phường Linh Xuân",10.875806,106.76597
Hồ Chí Minh,Thành phố Thủ Đức,"Điện máy Xanh 178 Đường Lã Xuân Oai, Phường Tăng Nhơn Phú A",10.839937,106.792997
Hồ Chí Minh,H.Hóc Môn,"Điện máy Xanh 4/25, ấp Nam Thới, xã Thới Tam Thôn",10.8880966,106.6005564
Hồ Chí Minh,Quận Bình Thạnh,"Điện máy Xanh 224/1A Xô Viết Nghệ Tĩnh, Phường 26",10.81001,106.71205
Hồ Chí Minh,Huyện Củ Chi,"Điện máy Xanh 1849 Tỉnh Lộ 8, Xã Bình Mỹ",10.972965,106.635644
Hồ Chí Minh,Quận 8,"Điện máy Xanh 3223 Phạm Thế Hiển, Phường 7",10.712139,106.628111
Hồ Chí Minh,Quận Bình Thạnh,"Điện máy Xanh 224/1A Xô Viết Nghệ Tĩnh, Phường 26",10.81001,106.71205
Hồ Chí Minh,Q. Gò Vấp,"Điện máy Xanh 1046 Quang Trung, P. 08",10.840704,106.64569
Hồ Chí Minh,Gò Vấp,"Điện máy Xanh Số 223-225 Phan Huy Ích, P.14",10.834651,106.63488
