id,address,district,province,longitude,latitude,zipcode
16,"110 Nguyễn Văn Linh , P.Nam Dương",Q.Hải Châu,Đà Nẵng,108.2139587,16.0603409,50000
17,"110A Quốc Lộ 1A, TT.Sông Vệ",H.Tư Nghĩa,Quảng Ngãi,108.8499,15.044575,53000
18,"112 - 114, Quốc Lộ 14, TT.Đức Phong",H.Bù Đăng,Bình Phước,107.24754,11.812611,67000
19,"112B đường Đồng Khởi, khu phố 5, P.Phú Khương",TP.Bến Tre,Bến Tre,106.37358,10.248888,86000
20,"1192-Quang Trung, P. Chánh Lộ",Tp. Quảng Ngãi,Quảng Ngãi,108.81648,15.099136,53000
21,"11A Phố Điện Biên Phủ, P. Điện Biên",Q. Ba Đình,Hà Nội,105.84193,21.02945,10000
22,"11A Thái Hà, P.Trung Liệt",Q.Đống Đa,Hà Nội,105.8201623,21.0129976,10000
23,"120 - 122 - 124 Đường Kênh Liêm, P.Cao Thắng",TP.Hạ Long,Quảng Ninh,107.09131,20.958848,1000
24,"12-14 Lý Thường Kiệt, P. Lê Hồng Phong",TP. Quy Nhơn,Bình Định,109.22483,13.77614,55000
25,"121D-123 Phạm Ngũ Lão, khóm 3, P. 01",TP. Trà Vinh,Trà Vinh,106.33964,9.944214,87000
26,"124 Ấp Phước Khánh, Xã Phước Mỹ Trung",Huyện Mỏ Cày Bắc,Bến Tre,106.27361,10.184347,86000
27,"127 Trần Hưng Đạo, P.Đồng Phú",TP.Đồng Hới,Quảng Bình,106.6135007,17.4693913,47000
28,"127-129 Nguyễn Văn Cừ, TT.Gia Bình",H.Gia Bình,Bắc Ninh,106.17516,21.052796,16000
29,"128 Phố Đại La (gần Ngã tư Đại La - Phố Vọng), P. Đồng Tâm",Q. Hai Bà Trưng,Hà Nội,105.8427573,20.9978986,10000
30,"137 Quốc Lộ 1K, KP.Tây B, P.Đông Hòa",TX.Dĩ An,Bình Dương,106.78424,10.890855,75000
31,"143/5A khu phố 4, P. An Phú",TX. Thuận An,Bình Dương,106.72969,10.948392,75000
32,"144 Nguyễn Lương Bằng, P. Hòa Khánh Bắc",H. Liên Chiểu,Đà Nẵng,108.14848,16.077238,50000
33,"146-148 Hùng Vương, KP. 02, TT. Tân Nghĩa",H. Hàm Tân,Bình Thuận,107.72715,10.82421,77000
34,"148B Quốc lộ 1A, ấp 2, Thị Trấn Hộ Phòng",H.Giá Rai,Bạc Liêu,105.4134536,9.2261278,97000
35,"15 Nguyễn Hữu Thọ, KP.3",Thị Trấn Bến Lức,Long An,106.4887351,10.6371738,82000
36,"150 Yên Ninh, KP. Khánh Sơn 1, TT. Khánh Hải",Ninh Hải,Ninh Thuận,109.0344282,11.5951389,59000
37,"154 Hùng Vương, P.An Lạc",Thị xã Buôn Hồ,Đắk Lắk,108.2652157,12.9169458,63000
38,"155 Lê Đình Lý, P. Hòa Thuận Đông",Q. Hải Châu,Đà Nẵng,108.21062,16.052448,50000
39,"156 Quốc Lộ 13, KP. Ninh Thịnh",TT. Lộc Ninh,Bình Phước,106.58828,11.849767,67000
40,"156 Thống Nhất, KP. 02, P. Tân Thiện",TX. La Gi,Bình Thuận,107.7682,10.663627,77000
41,"157-161 Điện Biên Phủ, TT. Nam Phước",H. Duy Xuyên,Quảng Nam,108.283449,15.841303,51000
42,"160 Hà Huy Tập, P.Hà Huy Tập",TP.Hà Tĩnh,Hà Tĩnh,105.8999097,18.3336032,45000
43,"170A Trần Hưng Đạo, P.Mỹ Xuyên",TP.Long Xuyên,An Giang,105.4403883,10.3770741,90000
44,"171 Thái Hà, P. Láng Hạ",Q. Đống Đa,Hà Nội,105.81612,21.015681,10000
45,"174A, đường Đoàn Hoàng Minh, P.05",TP.Bến Tre,Bến Tre,106.36964,10.237289,86000
46,"175/6 Quốc Lộ 13, KP. 02, P. Tân Định",TX. Bến Cát,Bình Dương,106.63341,11.045885,75000
47,"177 Phạm Văn Đồng, Khối 2, TT.Núi Thành",H.Núi Thành,Quảng Nam,108.64406,15.435974,51000
48,"177C-177C/1, Khu Phố 3, Thị Trấn Đức Hòa",Huyện Đức Hòa,Long An,106.45887,10.825489,82000
49,"178 Nguyễn Huệ, P.2",TP.Cao Lãnh,Đồng Tháp,105.6378793,10.4572851,81000
50,"179 Đỗ Tường Phong, TT. Tầm Vu",H. Châu Thành,Long An,106.46819,10.44677,82000
51,"18 Cách mạng Tháng 8, Ấp Chánh Lộc, Xã Chánh Mỹ",TP.Thủ Dầu Một,Bình Dương,106.6508317,10.9916023,75000
52,"186 - 188 -190 Lê Thanh Nghị, P. Đồng Tâm",Q. Hai Bà Trưng,Hà Nội,105.8436679,21.0019482,10000
53,"18B Trần Phú, tổ dân phố 3, P. Mộ Lao",Q. Hà Đông,Hà Nội,105.7899,20.982185,10000
54,"18C2 Đường TC3, Khu đô thị Mỹ Phước II, P. Mỹ Phước",TX. Bến Cát,Bình Dương,106.608809,11.139628,75000
55,"195 Khu phố 3, TT. Giồng Trôm",H. Giồng Trôm,Bến Tre,106.5051593,10.1546623,86000
56,"199 Quốc Lộ 60, KP5, Thị Trấn Mỏ Cày",H.Mỏ Cày Nam,Bến Tre,106.3331026,10.1288936,86000
57,"2 Ngọc Trì, P. Thạch Bàn",Quận Long Biên,Hà Nội,105.90524,21.022662,10000
58,"2 Núi Đôi, TT. Sóc Sơn",H. Sóc Sơn,Hà Nội,105.84832,21.257023,10000
59,"20 Hùng Vương, Phường 4",TP Trà Vinh,Trà Vinh,106.34342,9.937137,87000
60,"206 Nguyễn An Ninh, KP. Bình Minh 2, P. Dĩ An",TX. Dĩ An,Bình Dương,106.7683,10.904803,75000
61,"208 - 210 Nguyễn Tri Phương, Phường Thạc Gián",Quận Thanh Khê,Đà Nẵng,108.20588,16.058279,50000
62,"214 Phan chu Trinh, P.Phước Hòa",TP.Tam Kỳ,Quảng Nam,108.4875977,15.5697041,51000
63,"219/6 QL55, Thị trấn Phước Bửu",Huyện Xuyên Mộc,Bà Rịa - Vũng Tàu,107.3989051,10.5348648,78000
64,"222 Yersin, P.Phú Cường",TP.Thủ Dầu Một,Bình Dương,106.6646021,10.9837453,75000
65,"22-24 Châu Thị Kim, P.3",TP.Tân An,Long An,106.41796,10.532811,82000
66,"225 Lý Thường Kiệt, P.Cẩm Phô",TP. Hội An,Quảng Nam,108.3253428,15.8843087,51000
67,"22F Trần Duy Hưng, P. Trung Hòa",Q. Cầu Giấy,Hà Nội,105.80288,21.013959,10000
68,"231 Lê Văn Hiến, P. Hòa Hải",Q. Ngũ Hành Sơn,Đà Nẵng,108.25597,16.013247,50000
69,"238 Nguyễn Trãi, P. Trung Văn",Q. Nam Từ Liêm,Hà Nội,105.79733,20.987658,10000
70,"2387-2389 Hùng Vương, Khu 7, P.Nông Trang",TP.Việt Trì,Phú Thọ,105.3795035,21.3280839,35000
71,"242 Nguyễn Tất Thành, P. Tân Lập",TP Buôn Mê Thuột,Đắk Lắk,108.0619311,12.6911697,63000
72,"245 Lê Trọng Tấn, P. Dương Nội",Q. Hà Đông,Hà Nội,105.74607,20.978194,10000
73,"245 Trần Hưng Đạo, Thị Trấn Sa Thầy",Huyện Sa Thầy,Kon Tum,107.797884,14.407476,60000
74,"252 Võ Nguyên Giáp, TT. Trà My",H. Bắc Trà My,Quảng Nam,108.22194,15.342541,51000
75,"25-27 Xã Đàn, P. Phương Liên",Q. Đống Đa,Hà Nội,105.83656,21.011353,10000
76,"256 Nguyễn Huệ, P.Phố Mới",TP.Lào Cai,Lào Cai,103.9762831,22.4938234,31000
77,"26 Trần Hưng Đạo, P. Trưng Trắc",TX. Phúc Yên,Vĩnh Phúc,105.70565,21.234845,15000
78,"267A Đường CMT8, KP 5, P.Phước Hiệp",Thị xã Bà Rịa,Bà Rịa - Vũng Tàu,107.172789,10.4954363,78000
79,"27 Đường Xô Viết Nghệ Tĩnh, Thị Trấn Nghèn",Huyện Can Lộc,Hà Tĩnh,105.77554,18.455042,45000
80,"270 Võ Thị Sáu, KP.Long Tân, TT.Long Điền",H.Long Điền,Bà Rịa - Vũng Tàu,107.21493,10.484599,78000
81,"278/18B1, Khu phố 2, TT.Chợ Lách",H.Chợ Lách,Bến Tre,106.11959,10.259001,86000
82,"284 Đội Cấn, P. Cống Vị",Q. Ba Đình,Hà Nội,105.81931,21.03551,10000
83,"284 Đội Cấn, P. Cống Vị",Q. Ba Đình,Hà Nội,105.81931,21.03551,10000
84,"290 Trương Công Định, P.8 ",TP.Vũng Tàu,Bà Rịa - Vũng Tàu,107.0851296,10.3551013,78000
85,"291Nguyễn Văn Cừ, P.Ngọc Lâm",Q.Long Biên,Hà Nội,105.8747989,21.0452936,10000
86,"2A/1B khu phố Bình Đức, P.Bình Hòa",Thị xã Thuận An,Bình Dương,106.7311531,10.906228,75000
87,"304-306 Giải Phóng, Khối 6, TT.Phước An",H.Krông Pắc,Đắk Lắk,108.30205,12.710665,63000
88,"305 Quốc Lộ 13, ấp 3, X. Minh Hưng",H. Chơn Thành,Bình Phước,106.61478,11.480858,67000
89,"312 - 312A Thống Nhất, P. Phủ Hà",TP. Phan Rang - Tháp Chàm,Ninh Thuận,108.9914024,11.5709472,59000
90,"313 - 315 Hùng Vương, KP. 02, TT. Ngãi Giao",H. Châu Đức,Bà Rịa - Vũng Tàu,107.24591,10.648404,78000
91,"32 đường ĐT.741, KP.4, P.Long Phước",Thị xã Phước Long,Bình Phước,106.9529933,11.8122964,67000
92,"320-322 Lê Duẩn,P. Tân Chính",Q.Thanh Khê,Đà Nẵng,108.2094741,16.069362,50000
93,"325 Điện Biên Phủ, P. Hòa Khê",Q. Thanh Khê,Đà Nẵng,108.19206,16.065729,50000
94,"33-35, Đường 30/4, Thị trấn Tân Hưng",Huyện Tân Hưng,Long An,105.66749,10.834803,82000
95,"35 - 37 Thống Nhất , TT.Liên Nghĩa",H.Đức Trọng,Lâm Đồng,108.374328,11.7353086,66000
96,"35 Đường Ven Biển, Xã Phước Tỉnh",Huyện Long Điền,Bà Rịa - Vũng Tàu,107.200584,10.414051,78000
97,"351 Cầu Giấy, P. Dịch Vọng",Q. Cầu Giấy,Hà Nội,105.79079,21.036086,10000
98,"351 Nguyễn Huệ, TT. Tuy Phước",H. Tuy Phước,Bình Định,109.16808,13.825261,55000
99,"351 Nguyễn Hữu Thọ, P.Hòa Cường Bắc",Q.Hải Châu,Đà Nẵng,108.2102,16.036928,50000
100,"375 - 377 Trần Hưng Đạo, phường Quyết Thắng",TP Kon Tum,Kon Tum,108.00179,14.349551,60000
101,"378 Nguyễn Trãi, P. Thanh Xuân Trung",Q. Thanh Xuân,Hà Nội,105.80587,20.993779,10000
102,"379 Lê Duẩn, P. Đập Đá",TX. An Nhơn,Bình Định,109.09219,13.919145,55000
103,"38 Quang Trung, TT. Tăng Bạt Hổ",H. Hoài Ân,Bình Định,108.96755,14.366391,55000
104,"38 Xuân Thụ, P.Đông Ngàn",Thị Xã Từ Sơn,Bắc Ninh,105.9686494,21.1229957,16000
105,"386-388-390 Lê Lợi, P.07",TP. Vũng Tàu,Bà Rịa - Vũng Tàu,107.0767,10.36983,78000
106,"389 Ngọc Hồi, Thị Trấn Văn Điển",H.Thanh Trì,Hà Nội,105.844489,20.947897,10000
107,"390 – 392 – 394 – 396 Lê Duẩn, P.Eatam",TP. Buôn Mê Thuột,Đắk Lắk,108.0277812,12.65736,63000
108,"40 QL 62, Khu Phố 3, TT. Tân Thạnh",Huyện Tân Thạnh,Long An,106.0475443,10.6113126,82000
109,"403 Quang Trung, P.Quang Trung",Q.Hà Đông,Hà Nội,105.7680094,20.9644953,10000
110,"412 Trường Chinh, P.Trà Bá",TP.Pleiku,Gia Lai,108.01379,13.953837,61000
111,"414A DT 741, khu phố Phú Nghị, P. Hòa Lợi",TX. Bến Cát,Bình Dương,106.66509,11.082518,75000
112,"417 Giải Phóng, TT. Ea Drăng",H. Ea H’Leo,Đắk Lắk,108.20555,13.20153,63000
113,"427 đường Nguyễn Tất Thành, khu phố Xuân An, TT. Chợ Lầu",H. Bắc Bình,Bình Thuận,108.50818,11.220813,77000
114,"449 Hùng Vương, Phường Đồng Tâm",Thành phố Vĩnh Yên,Vĩnh Phúc,105.57292,21.30597,15000
115,"44B Nguyễn Đình Chiểu, P.1",TP.Bến Tre,Bến Tre,106.3807,10.236317,86000
116,"454 – 456 đường 30/4, P. Rạch Dừa",TP.Vũng Tàu,Bà Rịa - Vũng Tàu,107.1121448,10.3980166,78000
117,"456-456A-458 Bạch Mai, P.Trương Định",Q.Hai Bà Trưng,Hà Nội,105.8499885,20.9971224,10000
118,"46 Ông Ích Đường, Phường Hòa Thọ Đông",Quận Cẩm Lệ,Đà Nẵng,108.20471,16.016585,50000
119,"474B Nguyễn Đáng, Khóm 3, P.6",TP.Trà Vinh,Trà Vinh,106.34013,9.923439,87000
120,"475 Nguyễn Huệ, TT.Đắk Đoa",H.Đắk Đoa,Gia Lai,108.12116,13.993576,61000
121,"477 đường Lương Ngọc Quyến, P. Phan Đình Phùng",TP. Thái Nguyên,Thái Nguyên,105.829216,21.588248,24000
122,"480 Xã Đàn, P. Nam Đồng",Q. Đống Đa,Hà Nội,105.8316372,21.0171412,10000
123,"492 Thống Nhất , P. Mỹ Hương ",TP. Phan Rang - Tháp Chàm ,Ninh Thuận,108.98996,11.561973,59000
124,"492-494 Thân Nhân Trung, Tổ dân phố 2, TT. Bích Động",H. Việt Yên,Bắc Giang,106.0985994,21.2749168,26000
125,"5/A1 KDC Đồng An 4, Tỉnh Lộ 43, P. Bình Hòa",TX. Thuận An,Bình Dương,106.72724,10.890355,75000
126,"527 Hạ Long, P. Bãi Cháy",TP. Hạ Long,Quảng Ninh,107.02223,20.958407,1000
127,"531 Phạm Văn Đồng, P Ba Hàng",TX Phổ Yên,Thái Nguyên,105.87032,21.419223,24000
128,"538 Nguyễn Văn Cừ, P. Tân Lợi",TP. Buôn Mê Thuột,Đắk Lắk,108.07688,12.68385,63000
129,"546 Trương Định, Tân Mai",Hoàng Mai,Hà Nội,105.84563,20.983837,10000
130,"564-566 Trần Hưng Đạo, P.Thị Nại",TP.Quy Nhơn,Bình Định,109.221434,13.7816314,55000
131,"57 Hùng Vương, Thị Trấn Quảng Phú",Huyện Cư M'gar,Đắk Lắk,108.07572,12.81566,63000
132,"581 Trần Phú, P.B'lao",TP.Bảo Lộc,Lâm Đồng,107.8105223,11.5427191,66000
133,"583 Tổ Dân Phố 10, P.Tân Thanh",TP.Điện Biên Phủ,Điện Biên,103.0207086,21.3972589,32000
134,"589 Trần Hưng Đạo, P. Bình Khánh",TP. Long Xuyên,An Giang,105.42545,10.394619,90000
135,"590 Tôn Đức Thắng, P. Hòa Khánh Nam",Q. Liên Chiểu,Đà Nẵng,108.1581191,16.0635717,50000
136,"591B - 592B2 đường Đồng Khởi, P.Phú Khương",TP.Bến Tre,Bến Tre,106.3714314,10.2531639,86000
137,"6/12 Thống Nhất, KP.2, TT.Dầu Tiếng",H.Dầu Tiếng,Bình Dương,106.35961,11.273845,75000
138,"600 Nguyễn Nghiêm, TT. Đức Phổ",H. Đức Phổ,Quảng Ngãi,108.95689,14.808655,53000
139,"60-62 Đại Cồ Việt, P. Lê Đại Hành",Q. Hai Bà Trưng,Hà Nội,105.8476,21.008393,10000
140,"617 Trần Phú, Tổ 65, P.Cẩm Thủy",TP.Cẩm Phả,Quảng Ninh,107.267669,21.009814,1000
141,"62 Điện Biên Phủ, khóm 3, P. 02",TP. Trà Vinh,Trà Vinh,106.34121,9.932574,87000
142,"621 Quang Trung, Tổ 2, P.Tây Sơn",Thị xã An Khê,Gia Lai,108.6524141,13.9540075,61000
143,"622 Phan Chu Trinh, P. An Sơn",TP. Tam Kỳ,Quảng Nam,108.49672,15.563506,51000
144,"636 - 638 - 640 Điện Biên, P. Minh Tân",Thành phố Yên Bái,Yên Bái,104.900094,21.715571,33000
145,"64A Nguyễn Văn Tiết, KP. Bình Hòa, P. Lái Thiêu",TX. Thuận An,Bình Dương,106.71321,10.920966,75000
146,"66 Đường Vạn Phúc , Tổ Dân Phố Bạch Đằng , P. Vạn Phúc ",Q. Hà Đông ,Hà Nội,105.77206,20.980586,10000
147,"7 Nguyễn Văn Linh, P.Long Thạnh",Thị xã Tân Châu,An Giang,105.2481115,10.7976972,90000
148,"714 Cù Chính Lan, Tổ 3, P.Đồng Tiến",Tp. Hòa Bình,Hòa Bình,105.34587,20.823497,36000
149,"71A Ba Tháng Hai, TT. Ngô Mây, H. Phù Cát",T. Bình Định (ngã tư 3/2 - Trần Hưng Đạo,Bình Định,109.05913,13.998212,55000
150,"72-74 Phan Bội Châu, Thị trấn Kbang, Huyện Kbang",Tỉnh Gia Lai,Gia Lai,108.6017,14.13876,61000
151,"735 Ngô Quyền, P.An Hải Bắc",Q.Sơn Trà,Đà Nẵng,108.23081,16.074053,50000
152,"75 Đại lộ Hùng Vương, P.Trần Hưng Đạo",TP.Quảng Ngãi,Quảng Ngãi,108.80149,15.122957,53000
153,"753 - 755 Hùng Vương, KP Bồ Liêng, TT. Đinh Văn",H.Lâm Hà,Lâm Đồng,108.2418,11.790032,66000
154,"76 Quốc Lộ 1A Tổ Dân Phố 1, Thị Trấn Châu Ổ",H.Bình Sơn,Quảng Ngãi,108.7549925,15.3041791,53000
155,"77 Đại lộ Bình Dương, P.Phú Thọ",TP.Thủ Dầu Một,Bình Dương,106.6828895,10.9662191,75000
156,"774 Nguyễn Du, P.Ninh Xá",TP.Bắc Ninh,Bắc Ninh,106.0590076,21.1784094,16000
157,"777 - 779 Ngô Gia Tự, P. Đức Giang",Q. Long Biên,Hà Nội,105.9039456,21.0717447,10000
158,"79 Trần Hưng Đạo, Khóm 2, TT.Tri Tôn",H.Tri Tôn,An Giang,105.00136,10.424279,90000
159,"79/13 Đường ĐT 743, KP.Bình Phước B, P.Bình Chuẩn",TX.Thuận An,Bình Dương,106.74102,10.977451,75000
160,"792 Lê Lợi, P. Dĩnh Kế, TP. Bắc Giang",T. Bắc Giang (ngã tư Lê Lợi - Minh Khai,Bắc Giang,106.21178,21.277944,26000
161,"80 Trần Hưng Đạo, P.Phú Trinh",TP.Phan Thiết,Bình Thuận,108.1035429,10.9372837,77000
162,"811 Hùng Vương, TT.Chư Sê",H.Chư Sê,Gia Lai,108.07747,13.694139,61000
163,"83 Nguyễn Huệ, P.1",TP.Cao Lãnh,Đồng Tháp,105.63595,10.456291,81000
164,"839 Hùng Vương, KP. 10, TT. Di Linh",H. Di Linh,Lâm Đồng,108.07863,11.593592,66000
165,"853A-855 Trần Phú, P. B'Lao",TP. Bảo Lộc,Lâm Đồng,107.7996,11.540958,66000
166,87 Hùng Vương,Thị Trấn Đắk Tô,Kon Tum,107.841212,14.655884,60000
167,"87-89 Hùng Vương, P.Ba Đồn",TX.Ba Đồn,Quảng Bình,106.42176,17.752759,47000
168,"94 Nguyễn Tất Thành, khu phố 3A, TT. Ea Kar",H. Ea Kar,Đắk Lắk,108.44923,12.810476,63000
169,"94 Trần Hưng Đạo, P.Trần Phú",TP.Hà Giang,Hà Giang,104.9876153,22.8306472,20000
170,"974-976 đường 30/04, P. 11",TP. Vũng Tàu,Bà Rịa - Vũng Tàu,107.13358,10.409439,78000
171,"996 Đê La Thành, Phường Ngọc Khánh",Quận Ba Đình,Hà Nội,105.81089,21.02631,10000
172,"996 Đê La Thành, Phường Ngọc Khánh",Quận Ba Đình,Hà Nội,105.81089,21.02631,10000
173,"A12 Trần Hưng Đạo, P.Thắng Lợi",TP.Buôn Mê Thuột ,Đắk Lắk,108.049314,12.6858003,63000
174,"Ấp 5A, xã Trường Xuân",H. Tháp Mười,Đồng Tháp,105.78451,10.656319,81000
175,"Ấp Chánh, Xã Đức Lập Hạ",Huyện Đức Hòa,Long An,106.41811,10.901842,82000
176,"Ấp Nội Ô, TT. Ngan Dừa",H. Hồng Dân,Bạc Liêu,105.44796,9.5638741,97000
177,"Ấp Trung 3, TT. Phú Mỹ",H. Phú Tân,An Giang,105.35753,10.577157,90000
178,"C1B, đường Trần Phú, P.3",TP.Bạc Liêu,Bạc Liêu,105.7221007,9.2875659,97000
179,"C44 Ấp Phước Lộc, xã Phước Hưng",H.Long Điền,Bà Rịa - Vũng Tàu,107.22072,10.408123,78000
180,"Chợ TT. Vĩnh Tường, TT.Vĩnh Tường",H. Vĩnh Tường,Vĩnh Phúc,105.5143,21.215207,15000
181,"Cổng Nam 2 (nhà máy Samsung) khu CN Yên Bình, phường Đồng Tiến",tx Phổ Yên,Thái Nguyên,105.89522,21.420959,24000
182,"Đạc 7, xã Thọ Xuân",H. Đan Phượng,Hà Nội,105.64708,21.119004,10000
183,"Điện máy Xanh 01 Nguyễn Danh Phương, tổ dân phố An Phú, P. Hội Hợp",TP. Vĩnh Yên,Vĩnh Phúc,105.55268,21.293038,15000
184,"Điện máy Xanh 01 Nguyễn Văn Linh, TT.Phú Mỹ",H.Tân Thành,Bà Rịa - Vũng Tàu,107.05442,10.599903,78000
185,"Điện máy Xanh 01 Tôn Đức Thắng, P. Yên Thế",Tp. Pleiku,Gia Lai,107.98962,14.030759,61000
186,"Điện máy Xanh 02 Lý Thường Kiệt, Tiểu khu 5, TT. Quy Đạt",H. Minh Hóa,Quảng Bình,105.96673,17.808227,47000
187,"Điện máy Xanh 02/01 Ấp Nhân Tiến, Xã Xuyên Mộc",H. Xuyên Mộc,Bà Rịa - Vũng Tàu,107.42342,10.565301,78000
188,"Điện máy Xanh 03 Tỉnh Lộ 44, TT. Long Hải",H. Long Điền,Bà Rịa - Vũng Tàu,107.21984,10.409989,78000
189,"Điện máy Xanh 04, xã Đông Thạnh",huyện Cần Giuộc,Long An,106.672328,10.537451,82000
190,"Điện máy Xanh 09 Hùng Vương, Xóm Minh Phượng, P. Quảng Thọ",TX. Ba Đồn,Quảng Bình,106.4325,17.755778,47000
191,"Điện máy Xanh 1050 Phú Riềng Đỏ, khu phố Tân Đồng 1, phường Tân Xuân",Thị Xã Đồng Xoài,Bình Phước,106.90138,11.535964,67000
192,"Điện máy Xanh 105-107-109 Trần Phú, P. Nam Hồng",TX. Hồng Lĩnh,Hà Tĩnh,105.69904,18.529488,45000
193,"Điện máy Xanh 105-107-109 Trần Phú, P. Nam Hồng",TX. Hồng Lĩnh,Hà Tĩnh,105.69904,18.529488,45000
194,"Điện máy Xanh 105A3 Võ Nguyên Giáp, KP. Bình Khởi, P.6",Tp. Bến Tre,Bến Tre,106.35547,10.248889,86000
195,"Điện máy Xanh 107 Ngô Mây, P. Nguyễn Văn Cừ",TP. Quy Nhơn,Bình Định,109.21608,13.763867,55000
196,"Điện máy Xanh 109 Tuệ Tĩnh , Thôn Hồng Phong, TT. Mậu A",H. Văn Yên,Yên Bái,104.68516,21.880083,33000
197,"Điện máy Xanh 116 Nguyễn Tất Thành, TT. Tăng Bạt Hổ",H. Hoài Ân,Bình Định,108.96888,14.364256,55000
198,"Điện máy Xanh 116 Tôn Đức Thắng, P.Hòa Minh",Q.Liên Chiểu,Đà Nẵng,108.17478,16.059434,50000
199,"Điện máy Xanh 116 Trường Chinh, P. Đồng Xuân, TX. Phúc Yên",T. Vĩnh Phúc ( gần vòng tròn 1 Xuân Hòa,Vĩnh Phúc,105.72901,21.276804,15000
200,"Điện máy Xanh 117 QL1A , Khu Phố 5 , TT. Phước Dân ",H. Ninh Phước ,Ninh Thuận,108.92611,11.524585,59000
201,"Điện máy Xanh 118 Lê Thánh Tôn, KP. Hiệp Hoà, X. Tân Hải",TX. Lagi,Bình Thuận,107.87,10.725111,77000
202,"Điện máy Xanh 119 Đại Nghĩa, TT. Tế Tiêu",H. Mỹ Đức,Hà Nội,105.74134,20.686824,10000
203,"Điện máy Xanh 119 Đại Nghĩa, TT. Tế Tiêu",H. Mỹ Đức,Hà Nội,105.74134,20.686824,10000
204,"Điện máy Xanh 119 đường 21/8, khu 9, P.Phước Mỹ",TP.Phan Rang - Tháp Chàm,Ninh Thuận,108.98244,11.574361,59000
205,"Điện máy Xanh 119 đường Ngô Xuân Quảng, Thị trấn Trâu Quỳ",Huyện Gia Lâm,Hà Nội,105.93703,21.017893,10000
206,"Điện máy Xanh 12, khóm Thượng 1, thị trấn Thường Thới Tiền",huyện Hồng Ngự,Đồng Tháp,105.247648,10.812821,81000
207,"Điện máy Xanh 1225 Trần Hưng Đạo, Phường Đống Đa",Tp. Quy Nhơn,Bình Định,109.20638,13.786333,55000
208,"Điện máy Xanh 125 phố Hòa Nam, TT Quảng Uyên",H. Quảng Uyên,Cao Bằng,106.44279,22.68986,21000
209,"Điện máy Xanh 129 Trần Hưng Đạo, Phường Mỹ Phước",Thành Phố Long Xuyên,An Giang,105.44224,10.374751,90000
210,"Điện máy Xanh 130-132b Nguyễn Hữu Tiến, TT. Đồng Văn",H. Duy Tiên,Hà Nam,105.92244,20.643361,18000
211,"Điện máy Xanh 1311 đường Hùng Vương, phường Thống Nhất",thị xã Buôn Hồ,Đắk Lắk,108.25598,12.86445,63000
212,"Điện máy Xanh 136 Hai Bà Trưng, TT. Lim",H. Tiên Du,Bắc Ninh,106.02308,21.145917,16000
213,"Điện máy Xanh 137-143 Đường Yên Ninh , KP. Khánh Chữ 1 , TT. Khánh Hải ",H. Ninh Hải ,Ninh Thuận,109.0365,11.597249,59000
214,"Điện máy Xanh 14/4 Đường Nguyễn Du, KP. Bình Đáng, P. Bình Hòa, TP. Thuận An",T. Bình Dương (cạnh cây xăng Hoàng Phương,Bình Dương,106.73395,10.920996,75000
215,"Điện máy Xanh 141 Hùng Vương, TT. Quán Hàu",H. Gia Ninh,Quảng Bình,106.63924,17.404253,47000
